surface,adsorption site,ads initial x,ads initial y,ads initial z,ads final x,ads final y,ads final z,adsorption energy
Pb_mp-1186444_100,bridge_0,2.6432692078000026,4.310773461,16.536484678599997,2.6432593818,4.310855407,15.5643322703,-0.39539449802701
Pb_mp-1186444_100,bridge_3,3.5243638563500017,0.03273380755000113,16.536484678599997,2.9397258554,-0.4694502738,15.6974172257,-0.508191922572686
Pb_mp-1186444_100,hollow_0,0.8810874943666656,0.5225870289666664,16.536484678599997,0.8810916707,0.0755862122,16.0902771321,-0.2122065436887004
Pb_mp-1186444_100,hollow_1,2.643275516600006,9.078695118933338,16.536484678599997,2.6432722964,9.971452729,15.8090782129,-0.3140480395345845
Pb_mp-1186444_100,ontop_0,0.8810945223000003,10.0584159533,16.536484678599997,0.8810965261,10.0585331841,15.9697266072,-0.1113136617363403
Pb_mp-1186444_100,ontop_1,2.6432713652000017,7.1192534502,16.536484678599997,2.6432735604,7.1520741673,17.0414471238,0.2420128173474922
Pb_mp-1186444_110,hollow_0,2.2624167261815296,3.3527698676000015,20.7518280574,2.5647806907,4.1377020935,19.7322209764,-0.5058232463931295
Pb_mp-1186444_110,hollow_1,4.210141880451809,0.4789191416666689,20.7518280574,4.6359341293,1.2187188792,19.8218521814,-0.5062429223685239
Pb_mp-1186444_110,ontop_0,5.6827607058,4.3107384369,20.7518280574,8.5871331872,4.3107106422,19.752784077,-0.508415030197235
Pb_mp-1186444_110,ontop_1,1.5261075864999998,7.1845741981,20.7518280574,1.5261168817,7.1846080958,21.0558166865,0.216360229200603
LiB_mp-1001835_100,bridge_0,2.321353025,3.0072777786000002,17.427305258100002,2.3215446958,3.007277781,16.5656844294,-1.6696222713954916
LiB_mp-1001835_100,bridge_2,4.11817999968647e-05,1.0024258135000017,17.427305258100002,0.4027211909,1.0024180312,17.3269065534,-1.0163020735253865
LiB_mp-1001835_100,ontop_0,0.7741095585999997,1.0024257608999998,17.427305258100002,0.7738708707,1.0024256586,17.3588605808,-0.8990000847083373
LiB_mp-1001835_100,ontop_1,2.321353025,1.0024258660999998,17.427305258100002,2.3214980517,1.0024258773,17.4355250749,-0.8660570359596578
LiB_mp-1001835_110,bridge_1,0.7738525438999994,6.63679183330001,21.9844945566,0.7739142859,7.8280300923,21.7497514098,-0.7592970550729269
LiB_mp-1001835_110,bridge_4,2.3215011092999998,0.765574971498379,21.9844945566,2.3217778816,1.2552469141,21.8772478389,-0.7169115131071829
LiB_mp-1001835_110,hollow_0,0.7738472532999989,5.6847770085333345,21.9844945566,0.7737645828,7.8010481717,21.7617671473,-0.7581432182424339
LiB_mp-1001835_110,hollow_1,2.321504376300001,3.133621191966672,21.9844945566,2.321599005,2.6095643312,21.7410246622,-0.7591391051410632
LiB_mp-1001835_110,hollow_2,2.83743421953333,1.0547709118655895,21.9844945566,2.3319538405,2.3699587604,21.7722093131,-0.9750098624811304
LiB_mp-1001835_110,ontop_0,2.3214595647,1.8393688579,21.9844945566,2.3218276496,2.4068542307,21.7538300911,-0.7596320355705595
LiB_mp-1001835_110,ontop_1,2.3215426538999995,6.636791833300001,21.9844945566,2.3218182553,8.2405741708,21.8779002467,-0.7170471252008235
LiB_mp-1001835_111,bridge_10,3.8064256718461538,0.8367895152370829,17.1702558009,4.3566850048,2.5378317668,16.2338634891,-1.9432870137068807
LiB_mp-1001835_111,bridge_1,2.7184683926461513,2.7580301588870784,17.1702558009,4.2723447655,2.6812264738,16.2389057613,-1.9423155748901155
LiB_mp-1001835_111,hollow_0,1.7079019952628154,2.8825405616037454,17.1702558009,1.5427914581,1.3717603561,15.9194298561,-1.8747625641726813
LiB_mp-1001835_111,hollow_1,0.7477667822056167,1.6017134658370826,17.1702558009,1.5035787139,1.2710412195,15.9264017903,-1.8745705197171945
LiB_mp-1001835_111,hollow_6,3.3385427326160255,0.262316113683906,17.1702558009,4.3286302759,2.510548105,16.2328352292,-1.941854711735113
LiB_mp-1001835_111,ontop_1,4.291963765296152,0.31907197363707995,17.1702558009,4.3769938447,2.5053961644,16.229129404,-1.942781391880535
LiB_mp-1001835_111,ontop_3,2.1160492068961516,4.1615532609370804,17.1702558009,1.279648007,6.2049278814,15.6298716385,-1.873530061905365
LiB3_mp-1222413_100,bridge_0,0.4265954274000001,5.913250222000003,17.0109555955,1.0030002616,6.2311797942,16.4617951002,-1.9850297502946657
LiB3_mp-1222413_100,bridge_1,3.5323882070500003,5.2794434334500036,17.0109555955,3.1319034193,4.4118379526,15.5469760437,-2.5513423361365857
LiB3_mp-1222413_100,hollow_2,0.34508808746666514,3.69145404283333,17.0109555955,0.9940922776,3.3340157066,15.4679854589,-2.4580435436684054
LiB3_mp-1222413_100,hollow_4,0.6294850382333326,0.42834704986666666,17.0109555955,1.0007228651,0.3474777915,16.4640263602,-1.984913326319752
LiB3_mp-1222413_100,ontop_0,1.0352642515999997,5.48576615,17.0109555955,1.0352643076,6.2288218991,16.4625675314,-1.984778682952225
LiB3_mp-1222413_100,ontop_2,2.2526019095,0.38478294369999977,17.0109555955,1.1137149966,3.1175796824,15.4652810805,-2.456862953949553
LiB3_mp-1222413_110,bridge_2,3.0650591234999993,1.5762950354999985,17.407416469799998,3.0636679821,3.4565532052,16.2072119367,-3.511615010509966
LiB3_mp-1222413_110,bridge_9,0.9945477969,3.5380280646,17.407416469799998,0.9940002213,3.536955685,17.0997697112,-2.151357579698522
LiB3_mp-1222413_110,hollow_0,0.5792420710666669,6.999329192700005,17.407416469799998,0.9891937002,7.7063014406,15.8366098829,-2.5025698554529803
LiB3_mp-1222413_110,hollow_1,3.064875983199997,0.8262718025318843,17.407416469799998,3.0639216051,3.4099921172,16.2866945842,-3.645810557549226
LiB3_mp-1222413_110,ontop_0,0.9945561896999999,2.7009369533,17.407416469799998,0.9948938736,3.4851887932,17.092486786,-2.1503908647808005
LiB3_mp-1222413_110,ontop_1,3.890820868,5.4995625529,17.407416469799998,3.0893754335,3.6130854119,16.2153033751,-3.5110205148910065
LiB3_mp-1222413_111,bridge_9,0.11553023475832644,2.5350510015047094,16.9740034592,-1.5102795952,3.5279073698,16.3902628418,-4.034307033703088
LiB3_mp-1222413_111,hollow_11,4.5188342156250005,3.432376163371377,16.9740034592,6.1270452794,4.3021923708,15.6997102668,-4.50192045127262
LiB3_mp-1222413_111,ontop_0,-0.5076957417416705,3.3525177908047077,16.9740034592,-1.0531985832,4.3027704662,16.208313981,-4.501977602015099
LiB3_mp-1222413_111,ontop_6,5.1649917552583275,4.319083097604708,16.9740034592,6.1365983454,4.3228488156,15.7006973745,-4.502394050722731
LiMg2_mp-865939_100,bridge_0,2.590377213700001,2.5924751391767313,20.703131825100005,2.5903777697,2.5909528767,20.5866778181,-0.6311148015762561
